	xx	内容		状況	xx	1200にある	
1200	354	予定していた作業は完了しました。		★★	计划中的工作完成了。	報告・連絡・相談（報連相）	
1200	355	一部未対応の項目があります。	1	★★	还有一部分未处理。	報告・連絡・相談（報連相）	があります
1200	356	少しお時間をいただけますか。	1	★★	可以给我一点时间吗？	報告・連絡・相談（報連相）	いただけますか
1200	357	お待たせして申し訳ありません。		★	让您久等了，非常抱歉。	報告・連絡・相談（報連相）	
1200	358	対応を再開します。		★★	重新开始处理。	報告・連絡・相談（報連相）	
1200	359	対応を継続します。		★★	继续处理。	報告・連絡・相談（報連相）	
1200	360	現状では問題ないと考えています。		★★	目前认为没有问题。	報告・連絡・相談（報連相）	
1200	361	こちらの対応で問題ないでしょうか。		★★	这样处理可以吗？	報告・連絡・相談（報連相）	
1200	362	この方針で進めたいと思います。	1	★★	我想按这个方针推进。	報告・連絡・相談（報連相）	たいと思います
1200	363	ご意見をいただければ幸いです。	1	★★	如果能提供意见，将不胜感激。	報告・連絡・相談（報連相）	幸い
1200	364	ご確認いただけますと幸いです。	1	★★	如果能确认一下，将不胜感激。	報告・連絡・相談（報連相）	いただけます～
1200	365	ご意見を伺いたいです。		★★	想听听您的意见。	報告・連絡・相談（報連相）	
1200	366	この方針で進めてもよろしいでしょうか。	1	★★	可以按这个方针推进吗？	報告・連絡・相談（報連相）	よろしいでしょうか
1200	367	別案もご提案できます。		★★	我们也可以提出其他方案。	報告・連絡・相談（報連相）	
1200	368	現時点ではこちらが最適と考えています。		★★	目前认为这是最佳方案。	報告・連絡・相談（報連相）	
1200	369	現時点で想定されるリスクです。		★	这是目前预计的风险。	報告・連絡・相談（報連相）	
1200	370	大きな影響はないと考えています。		★★	认为不会产生较大影响。	報告・連絡・相談（報連相）	
1200	371	情報共有までです。		★★	仅作信息共享。	報告・連絡・相談（報連相）	
1200	372	参考までに共有します。		★★	供您参考。	報告・連絡・相談（報連相）	
1200	373	お気付きの点があれば教えてください。（おきづき）		★	如有发现问题，请告诉我。	報告・連絡・相談（報連相）	
1200	374	追加のご意見がありましたらお願いします。	1	★★	如果有补充意见，请告诉我。	報告・連絡・相談（報連相）	お願いします
1200	375	認識に漏れがないか確認したいです。		★★	想确认是否有遗漏。	報告・連絡・相談（報連相）	
1200	376	内容に問題がないかご確認ください。	1	★★	请确认内容是否有问题。	報告・連絡・相談（報連相）	ご確認ください
1200	377	対応可否をご確認ください。	1	★★	请确认是否可以处理。	報告・連絡・相談（報連相）	ご確認ください
1200	378	この内容でお客様へご連絡します。	1	★★	我将按此内容联系客户。	報告・連絡・相談（報連相）	ご連絡します
1200	379	お客様へ回答してもよろしいでしょうか。	1	★★	可以这样回复客户吗？	報告・連絡・相談（報連相）	よろしいでしょうか
1200	380	お客様への回答案を作成しました。		★★	已拟好回复客户的内容。	報告・連絡・相談（報連相）	
1200	381	追加の確認事項があります。	1	★★	还有补充确认事项。	報告・連絡・相談（報連相）	があります
1200	382	現在確認を進めています。		★★	目前正在确认。	報告・連絡・相談（報連相）	
1200	383	確認が取れ次第、ご連絡します。	2	★	确认后立即联系您。	報告・連絡・相談（報連相）	次第、ご連絡します、取れ
1200	384	担当部署へ確認します。		★★	向负责部门确认。	報告・連絡・相談（報連相）	
1200	385	担当者へ確認を依頼しました。		★★	已请负责人确认。	報告・連絡・相談（報連相）	
1200	386	回答があり次第、共有します。	1	★★	收到回复后立即共享。	報告・連絡・相談（報連相）	次第
1200	387	進展がありましたらご報告します。		★★	有进展后会汇报。	報告・連絡・相談（報連相）	
1200	388	最後まで責任を持って対応します。		★★	我会负责到底。	報告・連絡・相談（報連相）	
1200	389	背景をご説明します。	1	★★	说明背景。	会議編	説明します
1200	390	ご質問にお答えします。		★★	回答您的问题。	会議編	
1200	391	認識に相違はありませんか。	1	★★	理解上没有差异吧？	会議編	違う、違い、間違い、相違、勘違い
1200	392	補足があればお願いします。	1	★★	如有补充请说明。	会議編	お願いします
1200	393	異論がなければ決定します。(いろん)		★★	如果没有异议，就决定了。	会議編	
1200	394	ここまでをまとめます。		★★	总结一下到这里。	会議編	
1200	395	次のステップをご説明します。	1	★★	说明下一步。	会議編	説明します
1200	396	本日の宿題はこちらです。		★★	今天需要完成的事项如下。	会議編	
1200	397	担当を決めたいと思います。	1	★★	想确定负责人。	会議編	たいと思います
1200	398	本日の会議は以上です。		★★	今天的会议到此结束。	会議編	
1200	399	確かにそうですね。		★★	确实如此。	会議編	
1200	400	私も同じ認識です。		★★	我的理解也一样。	会議編	
1200	401	私もその意見に賛成です。		★★	我也赞成这个意见。	会議編	
1200	402	認識にずれがあるかもしれません。		新	理解可能有偏差。	会議編	
1200	403	私の認識が間違っていたら教えてください。	1	新	如果我的理解有误，请告诉我。	会議編	違う、違い、間違い、相違、勘違い
1200	404	別の視点から考えると……		★★	从另一个角度来看……	会議編	
1200	405	それぞれメリット・デメリットがあります。	1	★★	各有优缺点。	会議編	があります
1200	406	私の意見を申し上げます。	1	★	我说一下我的意见。	会議編	申し上げます
1200	407	私としてはA案をおすすめします。		★★	我建议采用A方案。	会議編	
1200	408	理由は二つあります。		★★	理由有两个。	会議編	
1200	409	以上が理由です。		★★	以上就是理由。	会議編	
1200	410	追加で説明します。	1	★★	我再补充说明一下。	会議編	説明します
1200	411	誤解がないように説明します。	1	★★	为了避免误解，我说明一下。	会議編	説明します
1200	412	念のため繰り返します。		★★	保险起见，我再重复一遍。	会議編	
1200	413	以上で説明を終わります。		★★	说明到此结束。	会議編	
1200	414	ご清聴ありがとうございました。		★	感谢大家聆听。	会議編	
1200	415	結論としては、こちらの案で進めたいと思います。	1	★★	结论是，希望按这个方案推进。	会議編	たいと思います
1200	416	現時点では、この方針で問題ないと考えています。		★★	目前认为这个方针没有问题。	会議編	
1200	417	ここは認識を合わせておきたいです。	1	新	这里希望先统一理解。	会議編	合わせ
1200	418	この点については持ち帰って確認します。		新	这一点我带回去确认。	会議編	
1200	419	確認でき次第、ご連絡します。	1	★★	确认后立即联系。	会議編	次第、ご連絡します
1200	420	少し視点を変えて考えてみます。	1	新	我想换个角度考虑。	会議編	
1200	421	影響範囲をもう一度確認します。		新	再确认一次影响范围。	会議編	
1200	422	リスクを考慮すると、この案が適切です。		★★	考虑风险，这个方案更合适。	会議編	
1200	423	現時点では大きなリスクはありません。		新	目前没有大的风险。	会議編	
1200	424	次回までの対応事項を確認します。	1	新	确认下次会议前的任务。	会議編	を確認します
1200	425	実現可能か確認します。		★★	确认是否可行。	会議編	
1200	426	ご連絡をお待ちしております。	1	★★	等待您的回复。	会議編	ております
1200	427	情報がそろい次第、共有します。(揃う)	1	★	信息齐全后共享。	会議編	次第
1200	428	新しい情報が入りましたら、お知らせします。		新	有新信息后通知大家。	会議編	
1200	429	この件は継続してフォローします。		新	这件事会持续跟进。	会議編	
1200	430	状況を見ながら進めます。		★★	根据情况推进。	会議編	
1200	431	慎重に進めたいと思います。	1	★★	希望慎重推进。	会議編	たいと思います
1200	432	現状では、この対応が最善と考えます。		新	目前认为这是最佳处理方式。	会議編	
1200	433	他にご懸念はありますか。		★★	还有其他担心的问题吗？	会議編	
1200	434	お気付きの点がございましたら、ご指摘ください。		新	如果发现问题，请指出。	会議編	
1200	435	この内容で認識を合わせたいと思います。	1	★★	希望按这个内容统一理解。	会議編	合わせ、たいと思います
1200	436	本日の決定事項を確認します。	1	新	确认今天的决定事项。	会議編	を確認します
1200	437	アクションアイテムを確認します。	1	新	确认行动事项。	会議編	を確認します
1200	438	次回、改めてご報告します。	2	新	下次再正式汇报。	会議編	改め、改めまして
1200	439	以上で本日の説明を終了します。		★★	今天的说明到此结束。	会議編	
1200	440	事象を確認します。	1	★★	确认现象。	SAP・IT現場	を確認します
1200	441	事象を再現できませんでした。		★★	无法复现该现象。	SAP・IT現場	
1200	442	原因を切り分けます。		★★	分析并定位原因。	SAP・IT現場	
1200	443	切り分けの結果をご報告します。		新	汇报定位结果。	SAP・IT現場	
1200	444	スクリーンショットを送ってください。		新	请发送截图。	SAP・IT現場	
1200	445	設定値を見直します。		★★	重新检查配置值。	SAP・IT現場	
1200	446	標準機能で対応可能です。		★★	可以用标准功能实现。	SAP・IT現場	
1200	447	要件に沿って対応します。		★	按照需求处理。	SAP・IT現場	
1200	448	レビュー結果を反映しました。		★★	已反映Review意见。	SAP・IT現場	
1200	449	正常に動作することを確認しました。		★★	确认已正常运行。	SAP・IT現場	
1200	450	本番反映後に確認をお願いします。	1	★★	生产环境反映后请确认。	SAP・IT現場	お願いします
1200	451	他機能への影響はありません。		★★	对其他功能没有影响。	SAP・IT現場	
1200	452	対応は完了しています。		★★	处理已经完成。	SAP・IT現場	
1200	453	認識に相違がないか確認します。	1	★	确认双方理解是否一致。	SAP・IT現場	違う、違い、間違い、相違、勘違い
1200	454	標準機能で実現できます。		★★	可以通过标准功能实现。	SAP・IT現場	
1200	455	追加開発をご検討ください。		★★	请考虑追加开发。	SAP・IT現場	
1200	456	この要件は標準機能では対応できません。		新	该需求无法通过标准功能实现。	SAP・IT現場	
1200	457	代替案をご提案します。		新	我来提出替代方案。	SAP・IT現場	
1200	458	この実装方法をおすすめします。		新	建议采用这种实现方式。	SAP・IT現場	
1200	459	運用で回避できます。		新	可以通过业务运作规避。	SAP・IT現場	
1200	460	仕様どおりの動作です。		★★	这是符合规格的行为。	SAP・IT現場	
1200	461	仕様を変更する必要があります。	1	新	需要修改规格。	SAP・IT現場	があります
1200	462	設計を見直します。		★★	重新审查设计。	SAP・IT現場	
1200	463	開発担当へ確認します。		★★	向开发负责人确认。	SAP・IT現場	
1200	464	関連機能への影響を確認します。	1	新	确认对相关功能的影响。	SAP・IT現場	を確認します
1200	465	他モジュールへの影響があります。	1	新	会影响其他模块。	SAP・IT現場	があります
1200	466	影響は限定的です。		新	影响有限。	SAP・IT現場	
1200	467	期待どおりの結果でした。		★★	结果符合预期。	SAP・IT現場	
1200	468	期待した結果になりませんでした。		新	结果不符合预期。	SAP・IT現場	
1200	469	ログを解析します。		★★	分析日志。	SAP・IT現場	
1200	470	原因を特定できました。	1	新	已经定位原因。	SAP・IT現場	できました
1200	471	修正後の確認をお願いします。	1	新	请确认修正后的结果。	SAP・IT現場	お願いします
1200	472	リリース準備を進めます。		新	开始准备发布。	SAP・IT現場	
1200	473	本番反映の日程を調整します。		新	协调生产环境发布时间。	SAP・IT現場	
1200	474	本番反映後に動作確認をお願いします。	1	新	生产发布后请确认运行情况。	SAP・IT現場	お願いします
1200	475	こちらで認識は合っていますでしょうか。	1	新	我的理解正确吗？	SAP・IT現場	合っていますか
1200	476	認識に相違があればご指摘ください。	1	新	如果理解有误，请指出。	SAP・IT現場	違う、違い、間違い、相違、勘違い
1200	477	前提条件を確認させてください。		新	请让我确认前提条件。	SAP・IT現場	
1200	478	要件をもう一度整理します。		新	再次整理需求。	SAP・IT現場	
1200	479	この認識で設計を進めます。		新	按这个理解进行设计。	SAP・IT現場	
1200	480	レビューコメントを反映しました。		新	已反映Review意见。	SAP・IT現場	
1200	481	ご指摘いただいた内容を修正しました。		★★	已修改您指出的问题。	SAP・IT現場	
1200	482	この事象は仕様です。		新	这是系统规格，不是故障。	SAP・IT現場	
1200	483	原因は設定漏れでした。		★★	原因是配置遗漏。	SAP・IT現場	
1200	484	原因はマスタデータでした。		★★	原因是主数据。	SAP・IT現場	
1200	485	原因は運用上の問題でした。		新	原因是业务运作问题。	SAP・IT現場	
1200	486	再発防止策を検討します。		新	研究防止再次发生的对策。	SAP・IT現場	
1200	487	同様の事象がないか確認します。		新	确认是否存在同类问题。	SAP・IT現場	
1200	488	他のデータにも影響がないか確認します。		新	确认是否影响其他数据。	SAP・IT現場	
1200	489	関連する設定も確認します。		新	也确认相关配置。	SAP・IT現場	
1200	490	追加の問題は見つかりませんでした。	1	新	没有发现其他问题。	SAP・IT現場	
1200	491	ナレッジとして共有します。		新	作为知识共享。	SAP・IT現場	
1200	492	リリース判定をお願いします。	1	★★	请进行发布判断。	SAP・IT現場	お願いします
1200	493	リリース可能と判断しました。		★	判断可以发布。	SAP・IT現場	
1200	494	本番反映を実施します。		新	执行生产环境发布。	SAP・IT現場	
1200	495	本番反映後も問題ありません。	1	新	发布后也没有问题。	SAP・IT現場	問題ありません
1200	496	作業は予定どおり完了しました。		新	工作按计划完成。	SAP・IT現場	
1200	497	何かございましたら、お気軽にご連絡ください。	1	★★	如有问题，请随时联系。	SAP・IT現場	お気軽に
1200	498	お時間のあるときにご確認ください。	1	新	有空时请确认。	Teams・チャットで	ご確認ください
1200	499	早速のご対応ありがとうございます。(さっそく)	1	★★	感谢您迅速处理。	Teams・チャットで	ありがとうございます
1200	500	少々お時間をいただけますでしょうか。	1	★★	可以给我一点时间吗？	Teams・チャットで	いただけます～
1200	501	本日中の対応は難しい状況です。		★★	今天内处理比较困难。	Teams・チャットで	
1200	502	明日までに対応いたします。		★★	明天前处理。	Teams・チャットで	
1200	503	進捗がありましたらご連絡します。	1	★★	有进展会联系您。	Teams・チャットで	ご連絡します
1200	504	こちらをご確認ください。	1	★★	请确认这里。	Teams・チャットで	ご確認ください
1200	505	何卒よろしくお願いいたします。(なにとぞ)	1	★★	还请多多关照（更正式）。	Teams・チャットで	お願いいたします
1200	506	お忙しいところ恐れ入りますが、ご確認をお願いいたします。	1	★★	百忙之中打扰了，请确认。	Teams・チャットで	恐れ入ります、恐縮ですが
1200	507	お忙しいところ恐縮ですが、ご対応をお願いいたします。	1	★★	百忙之中不好意思，请处理。	Teams・チャットで	恐れ入ります、恐縮ですが
1200	508	お時間がございましたら、ご確認ください。	1	新	如果有时间，请确认。	Teams・チャットで	ご確認ください
1200	509	お急ぎでなければ、お手すきの際にお願いいたします。	2	新	如果不着急，方便时处理即可。	Teams・チャットで	急ぎ、緊急、至急、応急、急いで、急に
1200	510	至急ご確認をお願いいたします。(しきゅう)	2	★★	请尽快确认。	Teams・チャットで	急ぎ、緊急、至急、応急、急いで、急に
1200	511	本日中にご確認いただけますでしょうか。	1	★★	今天内可以确认一下吗？	Teams・チャットで	いただけます～
1200	512	ご都合のよいタイミングでお願いいたします。	1	★★	请在您方便的时候处理。	Teams・チャットで	お願いいたします
1200	513	ご確認いただき、ありがとうございます。	1	★★	感谢您的确认。	Teams・チャットで	ありがとうございます
1200	514	迅速なご対応ありがとうございます。（じんそく）	1	★★	感谢您迅速处理。	Teams・チャットで	ありがとうございます
1200	515	無事に確認できました。	1	★★	已顺利确认。	Teams・チャットで	できました
1200	516	問題なく確認できました。	1	★★	已确认，没有问题。	Teams・チャットで	できました
1200	517	ご指摘のとおりでした。		★★	正如您指出的那样。	Teams・チャットで	
1200	518	再度ご確認をお願いいたします。	1	★★	请再次确认。	Teams・チャットで	再度
1200	519	ご不明な点がございましたら、お知らせください。		★★	如有疑问，请告诉我。	Teams・チャットで	
1200	520	ご不明点があれば、お気軽にご連絡ください。	1	★★	如有疑问，请随时联系。	Teams・チャットで	お気軽に
1200	521	念のため、ご連絡いたしました。		★★	保险起见，特此通知。	Teams・チャットで	
1200	522	参考までに共有いたします。		★★	仅供参考。	Teams・チャットで	
1200	523	確認が取れました。	2	★	已经确认。	Teams・チャットで	取れ
1200	524	回答をいただきました。		★	已经收到回复。	Teams・チャットで	
1200	525	進展がありましたら共有いたします。		★	有进展后共享。	Teams・チャットで	
1200	526	ご都合のよい日時をお知らせください。		新	请告知您方便的时间。	Teams・チャットで	
1200	527	打ち合わせの日程を調整させてください。	1	新	请协调一下会议时间。	Teams・チャットで	合わせ
1200	528	30分ほどお時間をいただけますでしょうか。	1	★★	可以占用您30分钟吗？	Teams・チャットで	いただけます～
1200	529	会議の招待を送付しました。		新	已发送会议邀请。	Teams・チャットで	
1200	530	ご参加をお願いいたします。	1	★★	请参加会议。	Teams・チャットで	お願いいたします
1200	531	ご都合が悪い場合はお知らせください。		新	如果时间不方便，请告诉我。	Teams・チャットで	
1200	532	開始時間を変更してもよろしいでしょうか。	1	新	可以调整开始时间吗？	Teams・チャットで	よろしいでしょうか
1200	533	別日で調整させていただけますでしょうか。（後日って、よく言う）	1	★★	可以改天协调吗？	Teams・チャットで	いただけます～
1200	534	念のため、リマインドいたします。		★	提醒您一下。	Teams・チャットで	
1200	535	ご確認状況はいかがでしょうか。		新	请问确认得怎么样了？	Teams・チャットで	
1200	536	ご対応状況を教えていただけますでしょうか。	1	★★	可以告知处理进度吗？	Teams・チャットで	いただけます～
1200	537	恐れ入りますが、ご確認をお願いいたします。	1	★★	不好意思，请确认一下。	Teams・チャットで	恐れ入ります、恐縮ですが
1200	538	ご確認がお済みでしたら、ご連絡ください。		新	如果确认完成了，请联系我。	Teams・チャットで	
1200	539	お忙しいところ恐縮ですが、ご返信をお願いいたします。	1	★★	百忙之中麻烦回复一下。	Teams・チャットで	恐れ入ります、恐縮ですが
1200	540	本日中にご回答いただけますでしょうか。	1	★★	今天内可以回复吗？	Teams・チャットで	いただけます～
1200	541	ご都合のよいタイミングでご返信ください。		新	方便的时候回复即可。	Teams・チャットで	
1200	542	遅れを取り戻せる見込みです。	1	新	预计可以追回进度。	Teams・チャットで	遅い、遅れる、遅延
1200	543	現時点での課題を共有します。		★★	共享当前的课题。	Teams・チャットで	
1200	544	追加で対応が必要になりました。		新	需要追加处理。	Teams・チャットで	
1200	545	進展がありましたら、すぐに共有します。		★★	有进展会立即共享。	Teams・チャットで	
1200	546	引き続きご支援をお願いいたします。	1	★★	今后也请继续支持。	Teams・チャットで	引き続き
1200	547	音声は問題ありませんか。	1	★★	声音有问题吗？	電話・オンライン会議	問題ありません
1200	548	画面は見えていますでしょうか。		新	画面可以看到吗？	電話・オンライン会議	
1200	549	マイクをオンにしていただけますでしょうか。	1	★★	可以打开麦克风吗？	電話・オンライン会議	いただけます～
1200	550	少し音声が途切れています。		新	声音有点断断续续。	電話・オンライン会議	
1200	551	もう一度お願いできますでしょうか。	1	★★	可以再说一遍吗？	電話・オンライン会議	お願い
1200	552	少し聞き取れませんでした。	2	新	刚才没听清。	電話・オンライン会議	取れ
1200	553	回線の調子が悪いようです。		新	网络似乎不太稳定。	電話・オンライン会議	
1200	554	こちらの画面をご覧ください。	1	★★	请看我的画面。	電話・オンライン会議	ご覧ください
1200	555	資料の○ページをご覧ください。	1	★★	请看资料第○页。	電話・オンライン会議	ご覧ください
1200	556	資料はお手元にございますか。		新	资料在您手边吗？	電話・オンライン会議	
1200	557	それでは説明を始めます。		★★	那么开始说明。	電話・オンライン会議	
1200	558	詳細は後ほどご説明します。	1	★★	详细内容稍后说明。	電話・オンライン会議	説明します
1200	559	お気軽にご質問ください。	1	★★	请随时提问。	電話・オンライン会議	お気軽に
1200	560	持ち帰って確認します。		新	我带回去确认。	電話・オンライン会議	
1200	561	お忙しいところありがとうございました。		★★	感谢您百忙之中参加。	電話・オンライン会議	
1200	562	本日の決定事項です。		新	这是今天的决定事项。	電話・オンライン会議	
1200	563	次回までの対応事項です。		新	这是下次会议前的任务。	電話・オンライン会議	
1200	564	私から一点よろしいでしょうか。	1	新	我可以补充一点吗？	オンライン会議・打ち合わせ	よろしいでしょうか
1200	565	一点補足させてください。		新	请允许我补充一点。	オンライン会議・打ち合わせ	
1200	566	私の理解が正しければ、～です。		★★	如果我的理解没错的话，就是……	オンライン会議・打ち合わせ	
1200	567	認識に違いがあれば、ご指摘ください。	1	新	如果理解有误，请指出。	オンライン会議・打ち合わせ	違う、違い、間違い、相違、勘違い
1200	568	この点について確認したいことがあります。	1	新	关于这一点，我有个问题。	オンライン会議・打ち合わせ	があります
1200	569	確認したい前提があります。	1	新	有一个前提想确认。	オンライン会議・打ち合わせ	があります
1200	570	別の案も考えられると思います。		新	我认为也可以考虑其他方案。	オンライン会議・打ち合わせ	
1200	571	別の方法をご提案します。		新	我想提出另一种方法。	オンライン会議・打ち合わせ	
1200	572	こちらのほうが適切ではないでしょうか。		新	我认为这种方式是不是更合适？	オンライン会議・打ち合わせ	
1200	573	その可能性もあると思います。		★★	我认为也有这种可能性。	オンライン会議・打ち合わせ	
1200	574	その考え方には賛成です。		★★	我赞成这种想法。	オンライン会議・打ち合わせ	
1200	575	基本的には賛成ですが、一点確認させてください。		★★	基本赞成，不过有一点想确认。	オンライン会議・打ち合わせ	
1200	576	現時点では問題ないと考えています。		★★	目前认为没有问题。	オンライン会議・打ち合わせ	
1200	577	リスクを考えると、こちらの案がよいと思います。		新	考虑风险的话，我认为这个方案更好。	オンライン会議・打ち合わせ	
1200	578	影響範囲を考慮する必要があります。	1	新	需要考虑影响范围。	オンライン会議・打ち合わせ	があります
1200	579	運用面も考慮したいと思います。	1	★★	也希望考虑运维方面。	オンライン会議・打ち合わせ	たいと思います
1200	580	私の理解に間違いはありませんでしょうか。	1	新	我的理解没有问题吧？	オンライン会議・打ち合わせ	違う、違い、間違い、相違、勘違い
1200	581	こちらで進めてもよろしいでしょうか。	1	新	可以按这个方案推进吗？	オンライン会議・打ち合わせ	よろしいでしょうか
1200	582	皆さま、ご認識は一致していますでしょうか。		新	大家的理解一致吗？	オンライン会議・打ち合わせ	
1200	583	異論がなければ、この内容で進めます。		新	如果没有异议，就按这个内容推进。	オンライン会議・打ち合わせ	
1200	584	ご意見をいただけますでしょうか。	1	★★	可以听听您的意见吗？	オンライン会議・打ち合わせ	いただけます～
1200	585	何かお気付きの点はございますか。		新	有什么需要补充的吗？	オンライン会議・打ち合わせ	
1200	586	ほかにご質問はございますか。		★★	还有其他问题吗？	オンライン会議・打ち合わせ	
1200	587	次の議題に移ります。		新	进入下一个议题。	オンライン会議・打ち合わせ	
1200	588	時間の都合もありますので、次に進みます。		新	时间关系，我们进入下一项。	オンライン会議・打ち合わせ	
1200	589	予定より少し早く進んでいます。		新	进度比预定快一点。	オンライン会議・打ち合わせ	
1200	590	予定より少し時間がかかっています。		新	比预定花费了更多时间。	オンライン会議・打ち合わせ	
1200	591	残り時間はあと10分です。		★★	剩余时间还有10分钟。	オンライン会議・打ち合わせ	
1200	592	最後に確認事項があります。	1	新	最后还有确认事项。	オンライン会議・打ち合わせ	があります
1200	593	本日の会議は以上となります。		新	今天的会议到此结束。	オンライン会議・打ち合わせ	
1200	594	本日はお忙しい中、ありがとうございました。		★★	感谢大家百忙之中参加。	オンライン会議・打ち合わせ	
1200	595	本日はお時間をいただき、ありがとうございます。	1	新	感谢您今天抽出时间。	お客様との会議で	ありがとうございます
1200	596	それでは、会議を始めさせていただきます。		新	那么，现在开始会议。	お客様との会議で	
1200	597	本日の議題をご説明します。	1	★★	说明今天的议题。	お客様との会議で	説明します
1200	598	ご不明な点がございましたら、いつでもお知らせください。		新	如有疑问，请随时告知。	お客様との会議で	
1200	599	こちらの資料をご覧ください。	1	★★	请看这份资料。	お客様との会議で	ご覧ください
1200	600	こちらが現在の状況です。		★★	这是目前的情况。	お客様との会議で	
1200	601	現時点で確認できている内容をご説明します。	1	★★	说明目前已确认的内容。	お客様との会議で	説明します
1200	602	現在、詳細を調査しております。	1	★★	目前正在详细调查。	お客様との会議で	ております
1200	603	調査結果が分かり次第、ご報告いたします。	1	★★	调查结果出来后会立即汇报。	お客様との会議で	次第
1200	604	現在判明している原因は○○です。		新	目前查明的原因是……。	お客様との会議で	
1200	605	根本原因については引き続き調査します。(こんぽん)	1	新	根本原因将继续调查。	お客様との会議で	引き続き
1200	606	暫定対応を実施しました。		新	已实施临时措施。	お客様との会議で	
1200	607	恒久対応を進めます。		新	推进永久性解决方案。	お客様との会議で	
1200	608	現時点では問題なく稼働しています。		★★	目前运行正常。	お客様との会議で	
1200	609	今後も継続して監視します。		新	今后将继续监控。	お客様との会議で	
1200	610	ご要望を承りました。		新	已收到您的需求。	お客様との会議で	
1200	611	ご要望について検討いたします。		新	会研究您的需求。	お客様との会議で	
1200	612	実現可能か確認いたします。		新	确认是否可实现。	お客様との会議で	
1200	613	社内で確認のうえ、ご回答いたします。		新	内部确认后回复您。	お客様との会議で	
1200	614	持ち帰って検討いたします。		新	带回公司讨论。	お客様との会議で	
1200	615	現時点では回答を差し控えさせていただきます。		新	目前暂不作答。	お客様との会議で	
1200	616	ご期待に沿えるよう対応いたします。		新	会尽力满足您的期待。	お客様との会議で	
1200	617	ご迷惑をおかけし、申し訳ございません。	1	★★	给您添麻烦了，非常抱歉。	お客様との会議で	おかけし
1200	618	ご不便をおかけし、申し訳ございません。	1	★★	给您带来不便，非常抱歉。	お客様との会議で	おかけし
1200	619	引き続きサポートさせていただきます。	1	新	我们会继续为您提供支持。	お客様との会議で	引き続き
1200	620	最後に確認事項がございます。		新	最后还有确认事项。	お客様との会議で	
1200	621	途中経過をご報告します。		新	汇报目前进展。	報告・連絡・相談で	
1200	622	対応策をご説明します。	1	★★	说明应对措施。	報告・連絡・相談で	説明します
1200	623	現在、対応を進めています。		新	目前正在处理中。	報告・連絡・相談で	
1200	624	本日中に完了する見込みです。		★★	预计今天内完成。	報告・連絡・相談で	
1200	625	明日までに完了する予定です。		★★	预计明天前完成。	報告・連絡・相談で	
1200	626	進捗に変更がありましたので、ご連絡します。	1	新	进度有变更，特此通知。	報告・連絡・相談で	ご連絡します
1200	627	新しい情報が入りましたので共有します。		新	有了新信息，特此共享。	報告・連絡・相談で	
1200	628	原因は現在調査中です。		★★	原因目前仍在调查。	報告・連絡・相談で	
1200	629	ご相談させていただきたいことがあります。	1	新	有件事想和您商量。	報告・連絡・相談で	があります
1200	630	判断に迷っています。		新	我对判断有些犹豫。	報告・連絡・相談で	
1200	631	どちらが適切でしょうか。		新	哪一种更合适？	報告・連絡・相談で	
1200	632	この件についてアドバイスをいただけますでしょうか。	1	★★	这件事可以给我一些建议吗？	報告・連絡・相談で	いただけます～
1200	633	認識に相違がないか確認したいです。	1	新	想确认双方理解是否一致。	報告・連絡・相談で	違う、違い、間違い、相違、勘違い
1200	634	念のため、ご相談しました。		★★	保险起见，来和您商量一下。	報告・連絡・相談で	
1200	635	ご相談した内容で進めます。		新	按照商量后的内容推进。	報告・連絡・相談で	
1200	636	ご助言ありがとうございました。		新	感谢您的建议。	報告・連絡・相談で	
1200	637	大変参考になりました。		新	非常有参考价值。	報告・連絡・相談で	
1200	638	今後もご相談させてください。		新	今后也请让我向您请教。	報告・連絡・相談で	
1200	639	予定より作業が遅れています。	1	新	工作比计划延迟了。	報連相（遅延・障害・トラブル対応）	遅い、遅れる、遅延
1200	640	遅延が発生しています。	1	新	发生了延期。	報連相（遅延・障害・トラブル対応）	遅い、遅れる、遅延
1200	641	想定外の事象が発生しました。		★★	发生了预料之外的情况。	報連相（遅延・障害・トラブル対応）	
1200	642	現在のところ、大きな影響はありません。		新	目前没有大的影响。	報連相（遅延・障害・トラブル対応）	
1200	643	応急対応を実施しました。(おうきゅう)	2	新	已实施应急处理。	報連相（遅延・障害・トラブル対応）	急ぎ、緊急、至急、応急、急いで、急に
1200	644	恒久対応を検討しています。		新	正在研究永久解决方案。	報連相（遅延・障害・トラブル対応）	
1200	645	本日中の復旧を目指します。		★★	力争今天内恢复。	報連相（遅延・障害・トラブル対応）	
1200	646	復旧作業を進めています。		新	正在进行恢复工作。	報連相（遅延・障害・トラブル対応）	
1200	647	復旧が完了しました。		新	恢复完成。	報連相（遅延・障害・トラブル対応）	
1200	648	正常に動作していることを確認しました。		新	确认已经正常运行。	報連相（遅延・障害・トラブル対応）	
1200	649	ご迷惑をおかけし、誠に申し訳ございません。	1	★★	给您带来麻烦，深表歉意。	報連相（遅延・障害・トラブル対応）	おかけし
1200	650	深くお詫び申し上げます。	1	新	深表歉意。	報連相（遅延・障害・トラブル対応）	申し上げます
1200	651	今後はこのようなことがないよう努めます。		新	今后会努力避免再次发生。	報連相（遅延・障害・トラブル対応）	
1200	652	再発防止に取り組みます。		新	将致力于防止再次发生。	報連相（遅延・障害・トラブル対応）	
